Name,Symbol,Industry,SubIndustry,SandP,Dow,Country,Region,
Gold Fields Ltd.,GFI,Basic Materials,Gold Mining,NO,NO,South Africa,MidEast-Africa,GFI
GFI Group Inc.,GFIG,Financials,undefined,NO,NO,United States,United States,715
Goldcorp Inc.,GG,Basic Materials,Gold Mining,NO,NO,Canada,Canada,GG
Georgia Gulf Corp.,GGC,Basic Materials,Commodity Chemicals,NO,NO,United States,United States,GGC
Graco Inc.,GGG,Industrials,Industrial Machinery,NO,NO,United States,United States,GGG
General Growth Properties Inc.,GGP,Financials,undefined,NO,NO,United States,United States,719
Global Geophysical Services Inc.,GGS,Oil and Gas,undefined,NO,NO,United States,United States,720
Greenhill & Co. Inc.,GHL,Financials,Investment Services,NO,NO,United States,United States,GHL
CGI Group Inc. Cl A,GIB,Technology,Computer Services,NO,NO,Canada,Canada,GIB
Gildan Activewear Inc.,GIL,Consumer Goods,Clothing and Accessories,NO,NO,Canada,Canada,GIL
General Mills Inc.,GIS,Consumer Goods,Food Products,YES,NO,United States,United States,GIS
Gramercy Capital Corp.,GKK,Financials,Mortgage Real Estate Investment Trusts,NO,NO,United States,United States,GKK
